Cruise,Strata,Tow,Station,SHG,Year,Mon,Day,Time,Depth,Bot_Temp,CatchWt,CatchNum,Latitude,Longitude,Min_Dist,Zenith,PAR,ID
200902,01010,002,0141,111,2009,03,21,0936,45,6.40,0.00000,0.00000,39.506615,-73.119662,88740.39,50.952052,285.333479,"20090201010002"
200902,01010,003,0110,111,2009,03,18,1231,31,3.80,0.00000,0.00000,40.361052,-73.469203,30554.88,41.591346,347.708523,"20090201010003"
200902,01010,004,0111,111,2009,03,18,1416,37,4.70,0.00000,0.00000,40.176972,-73.424817,48840.88,51.032799,284.755369,"20090201010004"
200902,01010,005,0146,111,2009,03,21,2118,50,5.80,0.00000,0.00000,40.107137,-72.854745,70983.43,125.307504,0.000000,"20090201010005"
200902,01010,006,0105,111,2009,03,18,0301,42,5.30,0.00000,0.00000,40.560287,-72.504067,28905.35,122.675547,0.000000,"20090201010006"
200902,01010,007,0142,111,2009,03,21,1132,40,6.60,0.00000,0.00000,39.648693,-73.331900,66922.02,39.705781,359.068303,"20090201010007"
200902,01010,008,0145,111,2009,03,21,1855,43,5.50,0.00000,0.00000,40.135718,-73.169415,60961.82,100.146198,0.000000,"20090201010008"
200902,01020,001,0143,111,2009,03,21,1403,72,6.40,0.00000,0.00000,39.816045,-72.993297,93200.67,48.384296,303.378445,"20090201020001"
200902,01020,002,0180,111,2009,03,25,1533,60,5.50,0.00000,0.00000,40.428937,-72.287723,48689.91,62.254128,198.896208,"20090201020002"
200902,01020,003,0150,111,2009,03,22,0555,92,7.50,0.00000,0.00000,39.486323,-72.599435,132303.18,89.934876,0.000000,"20090201020003"
200902,01020,004,0140,111,2009,03,21,0726,63,6.30,0.00000,0.00000,39.460843,-73.107022,91553.39,73.206129,107.677670,"20090201020004"
200902,01020,005,0148,111,2009,03,22,0112,57,5.90,0.00000,0.00000,39.902048,-72.650673,95206.29,135.977496,0.000000,"20090201020005"
200902,01020,006,0147,111,2009,03,21,2310,58,6.10,0.00000,0.00000,39.975658,-72.667265,86910.96,137.931365,0.000000,"20090201020006"
200902,01020,007,0182,111,2009,03,25,2041,99,6.20,0.00000,0.00000,39.979233,-71.838647,109227.74,119.174532,0.000000,"20090201020007"
200902,01020,008,0149,111,2009,03,22,0348,90,7.40,0.00000,0.00000,39.605685,-72.510118,129842.90,113.736150,0.000000,"20090201020008"
200902,01030,001,0151,111,2009,03,22,0854,172,12.20,0.00000,0.00000,39.275430,-72.408105,155136.24,56.589207,243.525182,"20090201030001"
